what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937168822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937177898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937182830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937309751
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1377937310188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377937310607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937313045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937363390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937371245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937448413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937449274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937449676
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1377937449869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1377937449903
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377937451315
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1377937451316
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1377937452819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377937453840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937455780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937458393
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1377937461228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377937461999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937462676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937488861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937490044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377937790258
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1377937792690
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1377937792730
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1377937792754
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1377937792790
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1377937792798
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1377937792860
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1377937792870
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1377937792883
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1377937792887
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1377937792889
