|  customer |   waiting | ticketing |   waiting |     train |     train
|        id | ticketing |      time |     train |   departs |   arrives
|         1 |         0 |         2 |         3 |         0 |        21
|         2 |         0 |         1 |         4 |         0 |        33
|         3 |         1 |         3 |         1 |         0 |        51
|         4 |         1 |         5 |         4 |         0 |        42
|         5 |         0 |         1 |         4 |         0 |        50
|         6 |         3 |        10 |         1 |         0 |        50
|         7 |         1 |         1 |         2 |         0 |        49
|         8 |         2 |         2 |         0 |         0 |        54
|         9 |         2 |         1 |         4 |         0 |        39
|        10 |         3 |         3 |         1 |         0 |        35
|        11 |         4 |         6 |         0 |         0 |        64
|        12 |         1 |         2 |         2 |         0 |        52
|        13 |         5 |         3 |         0 |         0 |        60
|        14 |         1 |         1 |         1 |         0 |        45
|        15 |         2 |         1 |         0 |         0 |        32
|        16 |         3 |         2 |         3 |         0 |        30
|        17 |         8 |         8 |         2 |         0 |        69
|        18 |         5 |         1 |         4 |         0 |        45
|        19 |         6 |         1 |         3 |         0 |        49
|        20 |         7 |         5 |         3 |         0 |        68
|        21 |         1 |         1 |         0 |         0 |        44
|        22 |         3 |         3 |         4 |         0 |        47
|        23 |         0 |         1 |         4 |         0 |        63
|        24 |         1 |         2 |         2 |         0 |        43
|        25 |         4 |         3 |         4 |         0 |        61
|        26 |         3 |         3 |         0 |         0 |        68
|        27 |         2 |         1 |         3 |         0 |        71
|        28 |         3 |         1 |         2 |         0 |        70
|        29 |         7 |         7 |         2 |         0 |        51
|        30 |         3 |         2 |         0 |         0 |        40
|        31 |         3 |         3 |         2 |         0 |        73
|        32 |         3 |         2 |         3 |         0 |        46
|        33 |         3 |         1 |         1 |         0 |        65
|        34 |         2 |         1 |         2 |         0 |        62
|        35 |         4 |         2 |         4 |         0 |        80
|        36 |         3 |         2 |         0 |         0 |        66
|        37 |         6 |         3 |         1 |         0 |        70
|        38 |         2 |         1 |         4 |         0 |        80
|        39 |         2 |         4 |         0 |         0 |        58
|        40 |         4 |         1 |         0 |         0 |        55
|        41 |         0 |         2 |         3 |         0 |        56
|        42 |         4 |         9 |         2 |         0 |        82
|        43 |         0 |         2 |         3 |         0 |        63
|        44 |         2 |         2 |         1 |         0 |        62
|        45 |         2 |         3 |         0 |         0 |        82
|        46 |         0 |         2 |         1 |         0 |        89
|        47 |         0 |         1 |         4 |         0 |        68
|        48 |         0 |         3 |         1 |         0 |        87
|        49 |         0 |         1 |         2 |         0 |        76
|        50 |         1 |         5 |         2 |         0 |        95
